"company_permalink","acquirer_permalink","acquirer_name","acquirer_category_code","acquirer_country_code","acquirer_state_code","acquirer_region","acquirer_city","price_amount","price_currency_code","acquired_at","acquired_at_cleaned","id"
"/company/waywire","/company/magnify","Magnify","games_video","USA","NY","New York","New York",,"USD","10/17/13","2013-10-17 00:00:00",1
"/company/1-nation-technology","/company/vology","Vology","other",,,"unknown",,,"USD","1/1/06","2006-01-01 00:00:00",2
"/company/1-stop-financial-service-centers-of-america","/company/confie-seguros","Confie Seguros","enterprise","USA","CA","Los Angeles","Buena Park",,"USD","2/3/14","2014-02-03 00:00:00",3
"/company/1-800-contacts-2","/company/thomas-h-lee-partners","Thomas H. Lee Partners",,"USA","MA","Boston","Boston",,"USD","1/7/14","2014-01-07 00:00:00",4
"/company/1000memories","/company/ancestry-com","Ancestry","ecommerce","USA","UT","Salt Lake City","Provo",,"USD","10/3/12","2012-10-03 00:00:00",5
"/company/10best","/company/nile-guide","NileGuide","social","USA","CA","SF Bay","San Francisco",,"USD","1/25/11","2011-01-25 00:00:00",6
"/company/10east","/company/railcar-management","Railcar Management","enterprise",,,"unknown",,,"USD","4/14/09","2009-04-14 00:00:00",7
"/company/10k-wizard","/company/morningstar","Morningstar","software","USA","IL","Chicago","Chicago",,"USD","12/4/08","2008-12-04 00:00:00",8
"/company/123linkit-com","/company/netline","NetLine","advertising","USA","CA","SF Bay","Los Gatos",,"USD","12/6/11","2011-12-06 00:00:00",9
"/company/123people","/company/pagesjaunes","PagesJaunes","advertising","FRA",,"Paris","Sevres",,"USD","3/19/10","2010-03-19 00:00:00",10
"/company/12designer","/company/99designs","99designs","design","USA","CA","SF Bay","San Francisco",,"USD","8/6/12","2012-08-06 00:00:00",11
"/company/12society","/company/quarterly","Quarterly","web","USA","CA","Los Angeles","West Hollywood",,"USD","7/3/13","2013-07-03 00:00:00",12
"/company/1form-com","/company/rea-group","REA Group","news","AUS",,"Victoria","Victoria",1.5E7,"USD","1/14/14","2014-01-14 00:00:00",13
"/company/1st-choice-security-solutions","/company/comcam","ComCam",,"USA","PA","Philadelphia","West Chester",,"USD","4/13/11","2011-04-13 00:00:00",14
"/company/1vault-networks","/company/peak-10","Peak 10","network_hosting","USA","NC","Charlotte","Charlotte",,"USD","12/22/09","2009-12-22 00:00:00",15
"/company/2020-social","/company/publicis-groupe","Publicis Groupe","public_relations","FRA",,"Paris","Paris",,"USD","10/1/10","2010-10-01 00:00:00",16
"/company/20-20-media","/company/publicis-groupe","Publicis Groupe","public_relations","FRA",,"Paris","Paris",,"USD","10/1/10","2010-10-01 00:00:00",17
"/company/21st-century-infra-tele","/company/wireless-tt-info-services","Wireless TT Info Services","public_relations","IND",,"Hyderabad","Hyderabad",,"USD","4/6/10","2010-04-06 00:00:00",18
"/company/236-com","/company/huffingtonpost","The Huffington Post","news","USA","NY","New York","New York",,"USD","1/14/09","2009-01-14 00:00:00",19
"/company/24-solutions-ab","/company/24mas","24MAS",,"SWE",,"Nacka","Nacka",,"USD","12/23/09","2009-12-23 00:00:00",20
"/company/24-7-real-media","/company/wpp","WPP","public_relations","USA","NY","New York","New York",6.49E8,"USD","5/17/08","2008-05-17 00:00:00",21
"/company/24-7-solutions","/company/sentel","Sentel","other",,,"unknown",,,"USD","4/16/09","2009-04-16 00:00:00",22
"/company/280-north","/company/motorola-mobility","Motorola Mobility","mobile","USA",,"United States - Other",,2.0E7,"USD","7/1/10","2010-07-01 00:00:00",23
"/company/280-north","/company/motorola-solutions","Motorola Solutions","enterprise","USA","IL","Chicago","Schaumburg",2.0E7,"USD","7/1/10","2010-07-01 00:00:00",24
"/company/2ergo","/company/soundbite-communication","SoundBite Communications","public_relations","USA","VA","Bedford","Bedford",,"USD","2/1/12","2012-02-01 00:00:00",25
"/company/2nd-story-software-inc","/company/blucora","Blucora","web","USA","WA","Seattle","Bellevue",2.875E8,"USD","1/9/12","2012-01-09 00:00:00",26
"/company/2web-technologies","/company/google","Google","search","USA","CA","SF Bay","Mountain View",,"USD","6/1/06","2006-06-01 00:00:00",27
"/company/2wire","/company/pace","Pace","hardware","GBR",,"England","England",4.75E8,"USD","7/26/10","2010-07-26 00:00:00",28
"/company/3-blokes-studios","/company/rockyou","RockYou","games_video","USA","CA","SF Bay","Redwood City",,"USD","6/1/11","2011-06-01 00:00:00",29
"/company/3001","/company/northrop-grumman","Northrop Grumman","security","USA","CA","Los Angeles","Los Angeles",,"USD","9/10/08","2008-09-10 00:00:00",30
"/company/360-scheduling","/company/ifs","IFS","software",,,"unknown",,,"USD","9/30/10","2010-09-30 00:00:00",31
"/company/360-vantage","/company/ims-health","IMS Health","web","USA","CT","Danbury","Danbury",,"USD","5/20/13","2013-05-20 00:00:00",32
"/company/360commerce","/company/oracle","Oracle Corporation","enterprise","USA","CA","SF Bay","Redwood City",,"USD","1/18/06","2006-01-18 00:00:00",33
"/company/360networks","/company/zayo-group","Zayo Group","public_relations","USA","CO","Denver","Louisville",,"USD","10/1/11","2011-10-01 00:00:00",34
"/company/360networks","/company/zayo-bandwidth","Zayo Bandwidth","network_hosting","USA","CO","Denver","Louisville",,"USD","12/2/11","2011-12-02 00:00:00",35
"/company/380-development","/company/kb-marine-holdings","KB Marine Holdings",,,,"unknown",,,"USD","11/11/09","2009-11-11 00:00:00",36
"/company/3com","/company/hewlett-packard","Hewlett-Packard","web","USA","CA","SF Bay","Palo Alto",2.7E9,"USD","11/11/09","2009-11-11 00:00:00",37
"/company/3d-geo","/company/autodesk","Autodesk","software","USA","CA","SF Bay","San Rafael",,"USD","9/9/08","2008-09-09 00:00:00",38
"/company/3d-markets","/company/pipeline-financial-group","Pipeline Financial Group","enterprise","USA","NY","New York","New York",,"USD","4/22/09","2009-04-22 00:00:00",39
"/company/3d3r","/company/chegg","Chegg","education","USA","CA","SF Bay","Santa Clara",,"USD","11/14/11","2011-11-14 00:00:00",40
"/company/3db-research","/company/harman-international","Harman International Industries","other","USA","CT","New York","Stamford",,"USD","2/18/11","2011-02-18 00:00:00",41
"/company/3done-software","/company/actify","Actify",,"USA","CA","SF Bay","San Francisco",,"USD","7/6/11","2011-07-06 00:00:00",42
"/company/3dtin","/company/lagoa","Lagoa","enterprise","CAN",,"Montreal","Montreal, Quebec",,"USD","9/22/13","2013-09-22 00:00:00",43
"/company/3e-company","/company/verisk-analytics","Verisk Analytics","public_relations","USA","NJ","New York","Jersey City",1.1E8,"USD","12/7/10","2010-12-07 00:00:00",44
"/company/3leaf","/company/huawei","Huawei Technologies","network_hosting","CHN",,"Shenzhen","Shenzhen",,"USD","2/19/11","2011-02-19 00:00:00",45
"/company/3lm","/company/motorola-mobility","Motorola Mobility","mobile","USA",,"United States - Other",,,"USD","2/14/11","2011-02-14 00:00:00",46
"/company/3par","/company/hewlett-packard","Hewlett-Packard","web","USA","CA","SF Bay","Palo Alto",2.35E9,"USD","9/2/10","2010-09-02 00:00:00",47
"/company/3pd-inc","/company/xpo-logistics","XPO Logistics","ecommerce","USA","CT","New York","Greenwich",3.65E8,"USD","8/16/13","2013-08-16 00:00:00",48
"/company/3ple-media","/company/newnet-communication-technologies","NewNet Communication Technologies","public_relations","USA","IL","Chicago","Arlington Heights",,"USD","10/19/10","2010-10-19 00:00:00",49
"/company/3rd-power","/company/webmediabrands","WebMediaBrands","web","USA","NY","New York","New York",,"USD","1/3/10","2010-01-03 00:00:00",50
"/company/3rdwhale","/company/gengreen","GenGreen","cleantech",,,"unknown",,,"USD","9/30/09","2009-09-30 00:00:00",51
"/company/3tera","/company/ca","CA Technologies","software","USA","NY","Islandia","Islandia",,"USD","2/24/10","2010-02-24 00:00:00",52
"/company/3x-systems","/company/trustyd","Trustyd",,,,"unknown",,,"USD","10/25/12","2012-10-25 00:00:00",53
"/company/4home","/company/motorola-solutions","Motorola Solutions","enterprise","USA","IL","Chicago","Schaumburg",,"USD","12/1/10","2010-12-01 00:00:00",54
"/company/4m-wireless","/company/u-blox-ag","u-blox AG",,,,"unknown",,9000000.0,"USD","4/24/12","2012-04-24 00:00:00",55
"/company/504investor-com","/company/pivx-solutions","PivX Solutions","software","NZL",,"New Zealand - Other",,,"USD","10/25/08","2008-10-25 00:00:00",56
"/company/55bbs-com","/company/cnetnetworks","CNET Networks","web","USA","CA","SF Bay","San Francisco",,"USD","6/18/08","2008-06-18 00:00:00",57
"/company/56-com","/company/renren-inc","Renren Inc.","web","CHN",,"Beijing","Beijing",8.0E7,"USD","9/26/11","2011-09-26 00:00:00",58
"/company/5min","/company/aol","AOL","news","USA","NY","New York","New York",6.5E7,"USD","9/28/10","2010-09-28 00:00:00",59
"/company/5to1","/company/yahoo","Yahoo!","web","USA","CA","SF Bay","Sunnyvale",3.0E7,"USD","5/1/11","2011-05-01 00:00:00",60
"/company/60mo","/company/freeagent-central","FreeAgent","software","GBR",,"Edinburgh","Edinburgh",,"USD","5/3/12","2012-05-03 00:00:00",61
"/company/6consulting","/company/radian6","Salesforce Radian6","web","CAN",,"Fredericton","Fredericton",,"USD","3/11/11","2011-03-11 00:00:00",62
"/company/6n-silicon","/company/silicor-materials","Silicor Materials","manufacturing","USA","CA","SF Bay","San Jose",,"USD","2/11/10","2010-02-11 00:00:00",63
"/company/six-waves","/company/six-waves","6Waves","games_video","HKG",,"Causeway Bay","Causeway Bay",,"USD","7/18/11","2011-07-18 00:00:00",64
"/company/72-acre-property","/company/paragon-communications","Paragon Communications","public_relations","USA","MA","Boston","Ashland",,"USD","8/14/12","2012-08-14 00:00:00",65
"/company/724-solutions","/company/mobixell","Mobixell Networks","mobile","USA","CA","SF Bay","San Jose",,"USD","1/22/10","2010-01-22 00:00:00",66
"/company/798-inc","/company/the-fennetic-company","The Fennetic Company","games_video",,,"unknown",,,"GBP","8/12/10","2010-08-12 00:00:00",67
"/company/7inkjet-com","/company/lexon-technologies","Lexon Technologies","other","USA","CA","Los Angeles","La Mirada",,"USD","11/5/09","2009-11-05 00:00:00",68
"/company/7ticks","/company/interactive-data","Interactive Data","software","USA","MA","Boston","Bedford",,"USD","12/14/09","2009-12-14 00:00:00",69
"/company/80-20","/company/square","Square","mobile","USA","CA","SF Bay","San Francisco",,"USD","10/1/12","2012-10-01 00:00:00",70
"/company/8x8-inc","/company/contactual","Contactual","hardware","USA","CA","SF Bay","Redwood City",,"USD","9/15/11","2011-09-15 00:00:00",71
"/company/90-degree-software","/company/microsoft","Microsoft","software","USA","WA","Seattle","Redmond",,"USD","3/14/08","2008-03-14 00:00:00",72
"/company/9rules","/company/splashpress","Splashpress","advertising",,,"unknown",,,"USD","8/27/09","2009-08-27 00:00:00",73
"/company/9threads","/company/stone","Stone","advertising","USA","OH","Cincinnati","Independence",,"USD","1/1/12","2012-01-01 00:00:00",74
"/company/last-software","/company/google","Google","search","USA","CA","SF Bay","Mountain View",,"USD","3/14/06","2006-03-14 00:00:00",75
"/company/a-bit-lucky","/company/zynga","Zynga","games_video","USA","CA","SF Bay","San Francisco",,"USD","9/17/12","2012-09-17 00:00:00",76
"/company/a-life-medical","/company/ingenix","Ingenix","consulting","USA","MN","Minneapolis","Eden Prairie",,"USD","9/21/10","2010-09-21 00:00:00",77
"/company/a-s-a-p-advisor-services","/company/evestment-alliance","eVestment","analytics","USA","GA","Atlanta","Marietta",,"USD","12/1/11","2011-12-01 00:00:00",78
"/company/a1vacations","/company/homeaway","HomeAway","travel","USA","TX","Austin","Austin",,"USD","2/1/05","2005-02-01 00:00:00",79
"/company/aaromba-technologies","/company/csg-limited","CSG Limited","software","AUS",,"Darwin NT","Darwin NT",,"USD","6/2/10","2010-06-02 00:00:00",80
"/company/aaron-walton-entertainment","/company/omnicom-group","Omnicom Group",,"USA","NY","New York","New York",,"USD","4/26/02","2002-04-26 00:00:00",81
"/company/aastra-technologies","/company/mitel-networks-corporation","Mitel Networks Corporation","public_relations","CAN",,"Kanata","Kanata",,"USD","11/11/13","2013-11-11 00:00:00",82
"/company/abacus-ew-consultancy","/company/mass-consultants","Mass Consultants",,"GBR",,"Cambridgeshire","Cambridgeshire",,"USD","5/1/10","2010-05-01 00:00:00",83
"/company/abacus-international","/company/decision-resources-group","Decision Resources Group",,"USA","MA","Boston","Burlington",,"USD","12/4/12","2012-12-04 00:00:00",84
"/company/abacus-transcriptions","/company/imedx","iMedX","enterprise","USA","GA","Atlanta","Atlanta",,"USD","12/21/11","2011-12-21 00:00:00",85
"/company/abb-cade","/company/hewlett-packard","Hewlett-Packard","web","USA","CA","SF Bay","Palo Alto",,"USD","12/31/91","1991-12-31 00:00:00",86
"/company/abcro","/company/ppd","PPD","biotech","USA","NC","Wilmington","Wilmington",,"USD","4/21/09","2009-04-21 00:00:00",87
"/company/abilitycrm","/company/business-decision","Business & Decision","consulting","USA","PA","Philadelphia","Wayne",,"USD","7/2/12","2012-07-02 00:00:00",88
"/company/able-belgium","/company/vasco","VASCO Data Security International","security","USA","IL","Chicago","Oakbrook Terrace",,"USD","1/1/06","2006-01-01 00:00:00",89
"/company/abnormal-returns","/company/stocktwits","StockTwits","web","USA","CA","San Diego","San Diego",,"USD","1/25/10","2010-01-25 00:00:00",90
"/company/about-me","/company/shutterfly","Shutterfly","ecommerce","USA","CA","SF Bay","Redwood City",,"USD","6/27/07","2007-06-27 00:00:00",91
"/company/about-reverse-mortgages","/company/reverse-mortgage-lenders-direct","Reverse Mortgage Lenders Direct","finance","USA","FL","Fort Lauderdale","Ft Lauderdale",50000.0,"USD","9/8/12","2012-09-08 00:00:00",92
"/company/about-com","/company/iac","IAC","news","USA","NY","New York","New York",3.0E8,"USD","8/27/12","2012-08-27 00:00:00",93
"/company/about-com","/company/newyorktimes","New York Times","news","USA","NY","New York","New York",4.1E8,"USD","3/18/05","2005-03-18 00:00:00",94
"/company/aboutme","/company/aol","AOL","news","USA","NY","New York","New York",3.5E7,"USD","12/20/10","2010-12-20 00:00:00",95
"/company/aboutme","/company/tony-conrad-ryan-freitas","Tony Conrad & Ryan Freitas",,,,"unknown",,,"USD","2/5/13","2013-02-05 00:00:00",96
"/company/aboutweblogs","/company/b5media","b5media","news","CAN",,"Toronto","Toronto, ON",,"USD","11/7/05","2005-11-07 00:00:00",97
"/company/abovenet","/company/zayo-bandwidth","Zayo Bandwidth","network_hosting","USA","CO","Denver","Louisville",2.2E9,"USD","3/19/12","2012-03-19 00:00:00",98
"/company/abraxis-bioscience","/company/celgene","Celgene","biotech","USA","NJ","Summit","Summit",2.9E9,"USD","6/30/10","2010-06-30 00:00:00",99
"/company/absolute-punk","/company/spin-media","SpinMedia","music","USA","CA","Los Angeles","Hollywood",,"USD","5/5/08","2008-05-05 00:00:00",100
